id,display name,username,weight
1370713842204999692,,CryptoLego0311,1
1759826649800151040,,Karoo_222,1
3163177460,,treyeth,1
964872596163612672,,wizardofongz,1
1317330891908157441,,eldragonpapi,1
1393908721835601924,,DragoXBT,1
2677801583,,eth_btc8,1
1539586079388737536,,Garyx_Deng,1
1876748030419873793,,Aeon_DCA,1
28606204,,liamrohan_,1
1384914931087196168,,crptpo,1
1137744557636853760,,mad_tandon,1
1890130424317263872,,vidaio_,1
1215427712698986496,,0xRocket,1
1330169019605934082,,kevgumba,1
1669249886959833090,,cart_tao,1
262470354,,SimpleSyed01,1
158157012,,Creeptonic,1
1889023741935443968,,AskCatGPT,1
371408800,,AvdBessie,1
1544121118021148672,,leejincai,1
1748244216051097600,,kowshikkomandur,1
1448966238491844609,,OmarRahman339,1
1794282228945678337,,luckstar_88,1
1362934270218563586,,pathumanuradha6,1
4874815142,,jennkalidoss,1
2368731618,,Constantius,1
1761429978909192192,,jarvisfromtplx,1
1457806283784998915,,OrcatronEth,1
1693255284284870656,,joyce24beats,1
259780392,,The_Babylonians,1
3717197782,,luijait_,1
730003213286440961,,daKriptologist,1
1377573134988099587,,0x_Rorschach,1
1747854898887049216,,_Ulquiorra_IV_,1
1343422520813219843,,hari23051991,1
1779392697331273728,,sultanxbt,1
1435878887171428352,,FnGukygui,1
2460748290,,hispattern,1
1876010428213477376,,bigbugAi,1
1445101310370451472,,Gvhungz,1
1462954788199583747,,crymax92,1
1856678446803640320,,jingsuixinzhuan,1
1221926497600053249,,palxzxz,1
84867476,,sgershuni,1
1781378187101888513,,TAOdomains,1
942913611084812289,,Debussy100,1
897507748761354240,,klothtweets,1
1232981273980940288,,JoTessem,1
614424128,,uponly2035,1
1754902183181471744,,twitb1t,1
1547951257234550784,,piopio_iic,1
4277693134,,aping_is_life,1
1880803781686050816,,nomadentrep,1
1787757839982768128,,ChappieOnChain,1
194805763,,kellyann3644,1
1343525511973244928,,JohnNakamoto_,1
4048118273,,mac3pq,1
1815045311603040256,,brujeria888,1
934626259308384256,,0xdannyh,1
907681777224900608,,alqjem,1
1846895406527270918,,Effi_Frontier,1
1473645054711386113,,AtomixLAD,1
1866536117111046144,,tao_five,1
1440459919962959877,,paultimofeev_,1
1555515751267811328,,AleaResearch,1
1374573402242039809,,Beowulf2BTC,1
374484752,,backwoods_btc,1
3230871129,,jfklegrand,1
443637303,,TPB777L,1
1466151307333574671,,SantosAirdrop,1
1735686034434740224,,mememaxi_,1
1457902854455246855,,csjhn,1
1804429454481199104,,openodes,1
1852050677016498176,,metaverseandre,1
1344918264246243330,,EthExploring,1
1147987598998196224,,ShmentLord,1
1735683644289953792,,0xNoNo_1,1
3835372342,,NelsonRodMar,1
931002769107951616,,ray_crypto,1
808903295066632193,,Shivfreespirit,1
884666677,,DktradingDk,1
46383575,,LikkleSlave,1
3221088739,,maslinedwin,1
1650680922117910528,,R0setiger,1
